backend,model_type,pd,rate,target,attainment,tp_prefill,pp_prefill,tp_decode,pp_decode
vllm_ascend,LLAMA-3.2-1B,prefill,2.0,80.0,100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,decode,2.0,40.0,100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,both,2.0,"(80.0, 40.0)",100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,prefill,2.0,120.0,100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,decode,2.0,60.0,100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,both,2.0,"(120.0, 60.0)",100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,prefill,2.0,160.0,100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,decode,2.0,80.0,100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,both,2.0,"(160.0, 80.0)",100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,prefill,2.0,200.0,100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,decode,2.0,100.0,100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,both,2.0,"(200.0, 100.0)",100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,prefill,2.0,240.0,100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,decode,2.0,120.0,100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,both,2.0,"(240.0, 120.0)",100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,prefill,2.0,34.0538486545589,85.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,decode,2.0,5.251564570221686,85.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,prefill,2.0,35.800032862014326,90.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,decode,2.0,5.300723553601615,90.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,prefill,2.0,37.84920013124611,95.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,decode,2.0,5.462291112324534,95.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,prefill,2.0,39.71002337274193,98.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,decode,2.0,5.541415639769835,98.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,prefill,2.0,40.811650444435294,99.0,1,1,1,1
vllm_ascend,LLAMA-3.2-1B,decode,2.0,5.567091122883548,99.0,1,1,1,1
