start_time,event_type,worker_id,req_id,duration,end_time
0.0,init,-1,0,0.0,0.0
0.0,do_prefill,0,0,102.92425835812577,102.92425835812577
102.92425835812577,finish_prefill,0,0,0.0,102.92425835812577
102.92425835812577,first_token_visible,0,0,0.0,102.92425835812577
102.92425835812577,wait_handoff,0,0,0.0,102.92425835812577
102.92425835812577,do_handoff,0,0,0.0,102.92425835812577
102.92425835812577,finish_handoff,0,0,0.0,102.92425835812577
102.92425835812577,wait_decode,1,0,0.0,102.92425835812577
102.92425835812577,do_decode,1,0,14.13408486895338,117.05834322707915
117.05834322707915,wait_decode,1,0,0.0,117.05834322707915
117.05834322707915,do_decode,1,0,14.134275008348538,131.1926182354277
131.1926182354277,wait_decode,1,0,0.0,131.1926182354277
131.1926182354277,do_decode,1,0,14.134465147743725,145.3270833831714
145.3270833831714,wait_decode,1,0,0.0,145.3270833831714
145.3270833831714,do_decode,1,0,14.134655287138884,159.4617386703103
159.4617386703103,wait_decode,1,0,0.0,159.4617386703103
159.4617386703103,do_decode,1,0,14.134845426534042,173.59658409684434
173.59658409684434,wait_decode,1,0,0.0,173.59658409684434
173.59658409684434,do_decode,1,0,14.1350355659292,187.73161966277354
187.73161966277354,wait_decode,1,0,0.0,187.73161966277354
187.73161966277354,do_decode,1,0,14.135225705324359,201.8668453680979
201.8668453680979,wait_decode,1,0,0.0,201.8668453680979
201.8668453680979,do_decode,1,0,14.135415844719546,216.00226121281744
216.00226121281744,wait_decode,1,0,0.0,216.00226121281744
216.00226121281744,do_decode,1,0,14.135605984114704,230.13786719693215
230.13786719693215,wait_decode,1,0,0.0,230.13786719693215
230.13786719693215,do_decode,1,0,14.135796123509863,244.273663320442
244.273663320442,wait_decode,1,0,0.0,244.273663320442
244.273663320442,do_decode,1,0,14.13598626290505,258.40964958334706
258.40964958334706,wait_decode,1,0,0.0,258.40964958334706
258.40964958334706,do_decode,1,0,14.13617640230018,272.54582598564724
272.54582598564724,wait_decode,1,0,0.0,272.54582598564724
272.54582598564724,do_decode,1,0,14.136366541695338,286.6821925273426
286.6821925273426,wait_decode,1,0,0.0,286.6821925273426
286.6821925273426,do_decode,1,0,14.136556681090497,300.8187492084331
300.8187492084331,wait_decode,1,0,0.0,300.8187492084331
300.8187492084331,do_decode,1,0,14.136746820485712,314.9554960289188
314.9554960289188,wait_decode,1,0,0.0,314.9554960289188
314.9554960289188,do_decode,1,0,14.13693695988087,329.09243298879966
329.09243298879966,wait_decode,1,0,0.0,329.09243298879966
329.09243298879966,do_decode,1,0,14.137127099276029,343.2295600880757
343.2295600880757,wait_decode,1,0,0.0,343.2295600880757
343.2295600880757,do_decode,1,0,14.137317238671187,357.3668773267469
357.3668773267469,wait_decode,1,0,0.0,357.3668773267469
357.3668773267469,do_decode,1,0,14.137507378066346,371.5043847048132
371.5043847048132,wait_decode,1,0,0.0,371.5043847048132
371.5043847048132,do_decode,1,0,14.137697517461504,385.6420822222747
385.6420822222747,wait_decode,1,0,0.0,385.6420822222747
385.6420822222747,do_decode,1,0,14.137887656856662,399.7799698791314
399.7799698791314,wait_decode,1,0,0.0,399.7799698791314
399.7799698791314,do_decode,1,0,14.138077796251821,413.9180476753832
413.9180476753832,wait_decode,1,0,0.0,413.9180476753832
413.9180476753832,do_decode,1,0,14.13826793564698,428.0563156110302
428.0563156110302,wait_decode,1,0,0.0,428.0563156110302
428.0563156110302,do_decode,1,0,14.138458075042195,442.1947736860724
442.1947736860724,wait_decode,1,0,0.0,442.1947736860724
442.1947736860724,do_decode,1,0,14.138648214437353,456.33342190050973
456.33342190050973,wait_decode,1,0,0.0,456.33342190050973
456.33342190050973,do_decode,1,0,14.138838353832512,470.47226025434225
470.47226025434225,wait_decode,1,0,0.0,470.47226025434225
470.47226025434225,do_decode,1,0,14.13902849322767,484.6112887475699
484.6112887475699,wait_decode,1,0,0.0,484.6112887475699
484.6112887475699,do_decode,1,0,14.139218632622828,498.75050738019274
498.75050738019274,wait_decode,1,0,0.0,498.75050738019274
498.75050738019274,do_decode,1,0,14.139408772017987,512.8899161522107
512.8899161522107,wait_decode,1,0,0.0,512.8899161522107
512.8899161522107,do_decode,1,0,14.139598911413145,527.0295150636239
527.0295150636239,wait_decode,1,0,0.0,527.0295150636239
527.0295150636239,do_decode,1,0,14.139789050808304,541.1693041144322
541.1693041144322,wait_decode,1,0,0.0,541.1693041144322
541.1693041144322,do_decode,1,0,14.139979190203462,555.3092833046356
555.3092833046356,wait_decode,1,0,0.0,555.3092833046356
555.3092833046356,do_decode,1,0,14.14016932959862,569.4494526342343
569.4494526342343,wait_decode,1,0,0.0,569.4494526342343
569.4494526342343,do_decode,1,0,14.140359468993779,583.589812103228
583.589812103228,wait_decode,1,0,0.0,583.589812103228
583.589812103228,do_decode,1,0,14.140549608388937,597.730361711617
597.730361711617,wait_decode,1,0,0.0,597.730361711617
597.730361711617,do_decode,1,0,14.140739747784096,611.8711014594011
611.8711014594011,wait_decode,1,0,0.0,611.8711014594011
611.8711014594011,do_decode,1,0,14.140929887179254,626.0120313465803
626.0120313465803,wait_decode,1,0,0.0,626.0120313465803
626.0120313465803,do_decode,1,0,14.141120026574526,640.1531513731549
640.1531513731549,wait_decode,1,0,0.0,640.1531513731549
640.1531513731549,do_decode,1,0,14.391640438035324,654.5447918111902
654.5447918111902,wait_decode,1,0,0.0,654.5447918111902
654.5447918111902,do_decode,1,0,14.392020716825641,668.9368125280158
668.9368125280158,wait_decode,1,0,0.0,668.9368125280158
668.9368125280158,do_decode,1,0,14.392400995615958,683.3292135236318
683.3292135236318,wait_decode,1,0,0.0,683.3292135236318
683.3292135236318,do_decode,1,0,14.392781274406275,697.721994798038
697.721994798038,wait_decode,1,0,0.0,697.721994798038
697.721994798038,do_decode,1,0,14.393161553196592,712.1151563512346
712.1151563512346,wait_decode,1,0,0.0,712.1151563512346
712.1151563512346,do_decode,1,0,14.393541831986909,726.5086981832216
726.5086981832216,wait_decode,1,0,0.0,726.5086981832216
726.5086981832216,do_decode,1,0,14.393922110777225,740.9026202939988
740.9026202939988,wait_decode,1,0,0.0,740.9026202939988
740.9026202939988,do_decode,1,0,14.394302389567542,755.2969226835663
755.2969226835663,wait_decode,1,0,0.0,755.2969226835663
755.2969226835663,do_decode,1,0,14.394682668357973,769.6916053519243
769.6916053519243,wait_decode,1,0,0.0,769.6916053519243
769.6916053519243,do_decode,1,0,14.39506294714829,784.0866682990726
784.0866682990726,wait_decode,1,0,0.0,784.0866682990726
784.0866682990726,do_decode,1,0,14.395443225938607,798.4821115250112
798.4821115250112,wait_decode,1,0,0.0,798.4821115250112
798.4821115250112,do_decode,1,0,14.395823504728924,812.8779350297401
812.8779350297401,wait_decode,1,0,0.0,812.8779350297401
812.8779350297401,do_decode,1,0,14.39620378351924,827.2741388132594
827.2741388132594,wait_decode,1,0,0.0,827.2741388132594
827.2741388132594,do_decode,1,0,14.396584062309557,841.6707228755689
841.6707228755689,wait_decode,1,0,0.0,841.6707228755689
841.6707228755689,do_decode,1,0,14.396964341099874,856.0676872166688
856.0676872166688,wait_decode,1,0,0.0,856.0676872166688
856.0676872166688,do_decode,1,0,14.397344619890191,870.465031836559
870.465031836559,wait_decode,1,0,0.0,870.465031836559
870.465031836559,do_decode,1,0,14.397724898680508,884.8627567352395
884.8627567352395,wait_decode,1,0,0.0,884.8627567352395
884.8627567352395,do_decode,1,0,14.398105177470825,899.2608619127103
899.2608619127103,wait_decode,1,0,0.0,899.2608619127103
899.2608619127103,do_decode,1,0,14.398485456261255,913.6593473689716
913.6593473689716,wait_decode,1,0,0.0,913.6593473689716
913.6593473689716,do_decode,1,0,14.398865735051572,928.0582131040231
928.0582131040231,wait_decode,1,0,0.0,928.0582131040231
928.0582131040231,do_decode,1,0,14.39924601384189,942.457459117865
942.457459117865,wait_decode,1,0,0.0,942.457459117865
942.457459117865,do_decode,1,0,14.399626292632206,956.8570854104972
956.8570854104972,wait_decode,1,0,0.0,956.8570854104972
956.8570854104972,do_decode,1,0,14.400006571422523,971.2570919819198
971.2570919819198,wait_decode,1,0,0.0,971.2570919819198
971.2570919819198,do_decode,1,0,14.40038685021284,985.6574788321326
985.6574788321326,wait_decode,1,0,0.0,985.6574788321326
985.6574788321326,do_decode,1,0,14.400767129003157,1000.0582459611358
1000.0582459611358,wait_decode,1,0,0.0,1000.0582459611358
1000.0582459611358,do_decode,1,0,14.401147407793474,1014.4593933689292
1014.4593933689292,wait_decode,1,0,0.0,1014.4593933689292
1014.4593933689292,do_decode,1,0,14.40152768658379,1028.860921055513
1028.860921055513,wait_decode,1,0,0.0,1028.860921055513
1028.860921055513,do_decode,1,0,14.401907965374221,1043.2628290208872
1043.2628290208872,wait_decode,1,0,0.0,1043.2628290208872
1043.2628290208872,do_decode,1,0,14.402288244164538,1057.6651172650518
1057.6651172650518,wait_decode,1,0,0.0,1057.6651172650518
1057.6651172650518,do_decode,1,0,14.402668522954855,1072.0677857880066
1072.0677857880066,wait_decode,1,0,0.0,1072.0677857880066
1072.0677857880066,do_decode,1,0,14.403048801745172,1086.4708345897518
1086.4708345897518,wait_decode,1,0,0.0,1086.4708345897518
1086.4708345897518,do_decode,1,0,14.403429080535489,1100.8742636702873
1100.8742636702873,wait_decode,1,0,0.0,1100.8742636702873
1100.8742636702873,do_decode,1,0,14.403809359325805,1115.278073029613
