req_id,first_token_latency,decoding_latency,total_latency,tpot,inv_tpot_ms,inv_tpot_s
0,68.68071940041634,4086.938596013623,4155.619315414039,10.116184643598077,0.09885149740053822,98.85149740053822
1,71.12907646239307,2983.881107865825,3055.010184328218,10.114851213104492,0.09886452889237071,98.86452889237071
2,73.78402192073486,3163.5891575378164,3237.373179458551,10.372423467337104,0.09640948454804348,96.40948454804348
3,70.27786789869754,4777.201350424791,4847.479218323489,10.569029536338032,0.09461606636274772,94.61606636274772
4,77.63967372900834,4229.154045386271,4306.79371911528,10.652780970746274,0.09387220132903433,93.87220132903433
5,75.00522340529528,3712.6789058920376,3787.6841292973327,10.699362841187428,0.09346350944847655,93.46350944847654
6,81.08015305953586,2873.925471637028,2955.0056246965637,10.723602506108312,0.09325224423698904,93.25224423698903
7,76.82076081185414,1667.6964380410586,1744.5171988529128,10.829197649617264,0.09234294472733563,92.34294472733563
8,70.21856105510642,2710.017234656153,2780.2357957112595,10.796881412972722,0.09261933717253532,92.61933717253531
9,78.1026471565292,2027.878317310909,2105.9809644674383,10.673043775320574,0.0936939846824496,93.69398468244961
10,65.71361427682814,1760.0585551299455,1825.7721694067736,10.732064360548447,0.09317871812957487,93.17871812957488
11,76.89934336282022,1998.9023607863028,2075.801704149123,10.303620416424241,0.09705326473459501,97.05326473459502
12,83.46732210903338,2050.0541567407436,2133.521478849777,10.049285082062468,0.09950956628595958,99.5095662859596
13,82.01027975119814,1014.0473305170026,1096.0576102682007,10.454096190896934,0.09565628455482986,95.65628455482985
14,79.57516007147751,189.39587119753742,268.97103126901493,9.968203747238812,0.1003189767541619,100.31897675416191
15,233.7414634001534,179.22826593921945,412.96972933937286,9.957125885512191,0.10043058724958165,100.43058724958165
16,203.35445369381978,10.66778289791182,214.0222365917316,10.66778289791182,0.09374019040036392,93.74019040036391
17,196.54592479907842,179.22826593921945,375.7741907382979,9.957125885512191,0.10043058724958165,100.43058724958165
18,69.01930153208377,98.6829023352575,167.70220386734127,9.86829023352575,0.1013346766598614,101.3346766598614
19,73.32309295755567,159.82528568118596,233.14837863874163,8.879182537843665,0.11262298029553212,112.62298029553213
20,70.23836012421634,61.986665883905516,132.22502600812186,8.855237983415075,0.11292751271878795,112.92751271878795
21,84.9975463673054,71.98482671411512,156.98237308142052,8.99810333926439,0.11113453161138642,111.13453161138642
22,81.3743835260284,44.75049831580509,126.12488184183348,8.950099663161017,0.11173059939388626,111.73059939388627
23,69.76633524188219,70.81899041810539,140.58532565998757,8.852373802263173,0.11296405035950276,112.96405035950275
24,75.14112479760297,153.3284523977327,228.46957719533566,9.019320729278393,0.11087309455065879,110.87309455065879
25,112.02379442354322,253.02907842896275,365.05287285250597,9.036752801034384,0.11065921819677704,110.65921819677705
26,72.69888238926251,501.43827440090536,574.1371567901679,8.954254900016167,0.11167875062370566,111.67875062370567
27,102.84194578270217,135.53348276101315,238.37542854371532,9.680963054358083,0.10329550834819369,103.29550834819369
28,75.09609542471662,151.17008210941094,226.26617753412756,8.89235777114182,0.11245611408543174,112.45611408543175
29,74.3015261044493,142.18790361734864,216.48942972179793,8.88674397608429,0.11252715310480045,112.52715310480045
30,82.34927412931029,117.02417383678221,199.3734479660925,9.001859525906324,0.11108815874343675,111.08815874343675
31,77.73673942459936,251.0516571332264,328.78839655782576,8.966130611900942,0.11153083122307833,111.53083122307832
32,81.98463905052449,261.14109982812806,343.12573887865256,9.00486551131476,0.11105107552616791,111.0510755261679
33,55.942920636534836,3497.9319588123326,3553.8748794488674,9.609703183550364,0.10406148669729712,104.06148669729713
34,49.43804687160991,3906.5962176821195,3956.0342645537294,9.815568386135979,0.10187897029095658,101.87897029095657
35,98.5034515261068,4023.908035464361,4122.411486990468,9.862519694765592,0.10139396735813237,101.39396735813237
36,49.04962025160785,8175.330101121355,8224.379721372963,10.785395911769598,0.092717968647655,92.717968647655
37,46.129339047820395,2731.5408297063823,2777.6701687542027,9.86115822998694,0.10140796615138833,101.40796615138834
38,67.43109715372702,5596.173692316817,5663.604789470544,10.639113483492048,0.09399279381234428,93.99279381234427
39,56.06651562989282,4223.789491607362,4279.856007237255,10.774973192875922,0.0928076554901472,92.8076554901472
40,41.02578992960116,4929.914222615829,4970.94001254543,11.078458927226583,0.09026526221461952,90.26526221461953
