req_id,first_token_latency,decoding_latency,total_latency,tpot,inv_tpot_ms,inv_tpot_s
0,125.0090072162623,7399.012296966199,7524.021304182461,15.877708791772958,0.0629813793107322,62.98137931073219
1,123.67309520830247,10667.145242284769,10790.818337493072,16.162341276189043,0.06187222401207657,61.87222401207657
2,141.13394375524058,7009.932248165527,7151.066191920769,16.37834637421852,0.06105622491743854,61.05622491743854
3,124.48108598178942,6202.005104448282,6326.486190430071,16.53868027852875,0.06046431656933621,60.46431656933621
4,130.57846330705206,10227.272857374455,10357.851320681508,16.3114399639146,0.06130666588678103,61.306665886781026
5,114.1428588045037,9088.23257464001,9202.375433444513,16.375193828180198,0.061067979438453567,61.06797943845356
6,125.6769540095429,6909.993240553571,7035.670194563114,16.49163064571258,0.06063681763694941,60.63681763694942
7,157.7532859319881,2212.122041399516,2369.875327331504,17.016323395380894,0.05876710125710537,58.76710125710537
8,133.8993178443725,2553.362359593144,2687.2616774375165,16.47330554576222,0.06070427075015623,60.70427075015623
9,154.91350794969003,1069.0510118879793,1223.9645198376693,16.197742604363324,0.06173699782898275,61.73699782898276
10,137.89500296789265,2880.593631642696,3018.4886346105886,15.655400171971174,0.06387572269090647,63.875722690906464
11,138.63725570573843,1724.6718537575107,1863.3091094632491,15.537584268085682,0.06436006928400109,64.3600692840011
12,157.34075947911697,3737.8622999112195,3895.2030593903364,15.319107786521391,0.06527795312464972,65.27795312464973
13,133.3276469465727,2363.8116393564214,2497.139286302994,15.349426229587152,0.06514901502131892,65.14901502131892
14,121.99850169633282,47.2379703831466,169.23647207947943,15.745990127715535,0.06350823237465616,63.50823237465616
15,202.28851379668777,334.8085185076634,537.0970323043512,15.94326278607921,0.06272241845459298,62.722418454592976
16,320.4860252674298,140.5363735060455,461.0223987734753,15.615152611782833,0.06404036033854854,64.04036033854854
17,300.0604385832048,779.0380881674828,1079.0985267506876,14.981501695528515,0.06674898286721598,66.74898286721599
18,144.83074069635404,104.20052375004161,249.03126444639565,14.8857891071488,0.06717816521528958,67.17816521528957
19,163.932780608724,179.45228030782164,343.3850609165456,14.95435669231847,0.06687014497344877,66.87014497344877
20,147.11026548525479,268.1061028606164,415.21636834587116,14.894783492256465,0.06713759891306123,67.13759891306123
21,131.35036696264433,653.2529384225709,784.6033053852152,14.846657691422065,0.06735522706755533,67.35522706755533
22,166.03050524243736,299.2740301603044,465.30453540274175,14.96370150801522,0.06682838463894483,66.82838463894484
23,155.12528449869933,298.4516863790486,453.57697087774795,14.922584318952431,0.06701252133184128,67.01252133184128
24,160.0102766031523,134.4514910095495,294.4617676127018,14.939054556616611,0.06693864034100425,66.93864034100424
25,178.67641928361627,372.16808971796854,550.8445090015848,14.886723588718741,0.0671739482526435,67.1739482526435
26,141.5512646776915,148.75392999687392,290.3051946745654,14.875392999687392,0.06722511465888767,67.22511465888768
27,147.0534048719055,268.101897693552,415.15530256545753,14.894549871864001,0.06713865196349525,67.13865196349525
28,156.264309810329,537.4317041695831,693.6960139799121,14.928658449155087,0.06698525546725176,66.98525546725176
29,137.28118086573522,163.47384862541367,300.7550294911489,14.861258965946696,0.06728905015997733,67.28905015997732
30,145.83147801474843,104.22341854849947,250.0548965632479,14.889059792642781,0.06716340816188648,67.16340816188648
31,146.59730972357647,580.9102229909695,727.507532714546,14.895133922845371,0.06713601939934577,67.13601939934577
32,150.79144070090115,223.59871983109042,374.39016053199157,14.906581322072695,0.0670844627882092,67.0844627882092
33,103.90851055175881,14393.130630319538,14497.039140871297,16.081710201474344,0.062182441262268344,62.18244126226834
34,88.63590006068262,6693.718599781576,6782.3544998422585,15.639529438742,0.06394054270730265,63.940542707302654
35,147.74345401942992,8862.12132893304,9009.86478295247,15.797007716458182,0.06330312790555553,63.30312790555553
36,73.38665883234353,12707.545380421972,12780.932039254316,16.2708647636645,0.06145954837220229,61.45954837220229
37,78.52320385743224,5096.928850580458,5175.45205443789,15.878283023615134,0.06297910161399316,62.97910161399315
38,88.3924011678173,10486.562608764456,10574.955009932273,16.410896101352826,0.06093512467716893,60.93512467716893
39,106.69165103189152,5046.1202247881665,5152.811875820058,16.330486164363,0.06123516409341429,61.23516409341429
40,79.2001008512816,7564.189439554837,7643.389540406119,16.809309865677417,0.05949084215776636,59.49084215776636
41,68.17894256344152,6854.516411066528,6922.69535362997,16.8830453474545,0.05923102019925407,59.23102019925407
42,74.18375009583542,10627.37474500305,10701.558495098885,16.89566732114952,0.05918677143626213,59.186771436262134
43,75.83741774384544,8328.556767468282,8404.394185212128,17.031813430405485,0.05871365395623598,58.71365395623597
44,118.95155869056907,10193.565644016708,10312.517202707277,16.961007727149266,0.058958760946692626,58.95876094669263
45,113.57058046827296,4748.236424534727,4861.807005003,17.26631427103537,0.057916239928374434,57.91623992837444
46,111.23788232415245,6353.415099744401,6464.652982068554,17.171392161471356,0.058236396361837764,58.23639636183776
47,112.1546580473514,7704.679499897931,7816.834157945283,17.045751105968876,0.05866564598903665,58.66564598903665
