model_key,source_file,batch_id,batch_size,sum_prompt_len,max_prompt_len,sum_prompt_len_sq,duration_ms
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-28,1,1113,1113,1238769,36.41870804131031
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-29,1,1089,1089,1185921,35.30801692977548
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-30,1,1423,1423,2024929,43.11960702762008
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-31,1,1214,1214,1473796,38.45413401722908
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-32,1,1398,1398,1954404,41.36526212096214
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-33,1,585,585,342225,29.45174602791667
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-34,1,446,446,198916,22.54532417282462
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-35,1,574,574,329476,24.31110804900527
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-36,1,435,435,189225,20.470855059102178
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-37,1,378,378,142884,20.186041947454214
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-38,1,873,873,762129,33.98233698680997
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-39,1,589,589,346921,26.841389015316963
