model,tp,param_type,a,b,c
facebook/opt-13b,1,prefill,15.337321401396881,0.11291898353201861,5.511430581066518e-05
facebook/opt-13b,1,decoding_smallbs,23.190151223569966,0.0063678209520446095,0.00042452139680297375
facebook/opt-13b,1,decoding_largebs,0,0,0
facebook/opt-13b,2,prefill,15.442985499084648,0.171130676918181,5.408668048411095e-06
facebook/opt-13b,2,decoding_smallbs,15.654935559723532,0.016702546091401746,0.001113503072760116
facebook/opt-13b,2,decoding_largebs,0,0,0
