model_key,source_file,rate,batch_size,sum_prompt_len,max_prompt_len,sum_prompt_len_sq,duration_ms
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,942,942,887364,50.94879097305238
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,1115,1115,1243225,53.114269161596894
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,1254,1254,1572516,58.41854796744883
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,1030,1030,1060900,51.40289990231395
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,1389,1389,1929321,52.83090891316533
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,1112,1112,1236544,51.00150499492884
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,1088,1088,1183744,37.922400049865246
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,1422,1422,2022084,49.99235295690596
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,1213,1213,1471369,54.52496116049588
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,1397,1397,1951609,53.039812948554754
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,584,584,341056,49.60539797320962
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,445,445,198025,67.69366888329387
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,573,573,328329,55.43118296191096
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,434,434,188356,53.69803216308355
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,377,377,142129,51.15425609983504
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,872,872,760384,49.76867511868477
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,588,588,345744,53.186506032943726
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,278,278,77284,55.39054819382727
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,344,344,118336,51.1665150988847
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,427,427,182329,50.94421794638038
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,713,713,508369,51.03911296464503
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,566,566,320356,48.88599505648017
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,584,584,341056,48.147815046831965
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,368,368,135424,38.33087394014001
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,680,680,462400,53.19076799787581
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,765,765,585225,49.67427486553788
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,267,267,71289,51.23502481728792
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/tmp/cuda_data_fit_infer_batch_view/fit/llama_1B/ascend-vllm-120-1.5.exp,1.5,1,596,596,355216,57.58766899816692
